name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Austin, TX USA",2024-03-22,78.3,55.5,64.4,78.3,55.5,64.4,55.2,76.3,0.037,100,4.17,rain,0,0,30.4,15.6,340.5,1011.7,43.3,6.5,242.1,20.9,8,10,2024-03-22T07:31:34,2024-03-22T19:44:10,0.41,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-03-23,71.5,51.7,62.1,71.5,51.7,62.1,53.6,75.4,0,0,0,,0,0,17.2,9.1,55.2,1017.3,31.8,9.6,170.7,14.7,6,10,2024-03-23T07:30:20,2024-03-23T19:44:47,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-03-24,71.9,58.2,65.1,71.9,58.2,65.1,58.1,78.7,0,0,0,rain,0,0,38.5,14.9,161.5,1005.6,77.6,9.3,61,5.1,2,10,2024-03-24T07:29:07,2024-03-24T19:45:24,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-03-25,78.3,57.2,67.4,78.3,57.2,67.4,50.7,61.3,0.13,100,16.67,rain,0,0,32.2,15.9,280.8,1000.3,60.7,9.2,217.8,18.8,8,10,2024-03-25T07:27:54,2024-03-25T19:46:02,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-03-26,68.3,46.3,58.1,68.3,42.7,57.7,36.1,44.5,0,0,0,,0,0,24.2,13.2,20.6,1012.5,9.3,9.9,256.2,22,8,10,2024-03-26T07:26:41,2024-03-26T19:46:39,0.55,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-03-27,65.3,48.2,54.4,65.3,48.2,54.4,45,71.8,0.103,100,12.5,rain,0,0,26.4,6.7,112.7,1018.2,41.8,9.6,118.5,10.3,9,10,2024-03-27T07:25:28,2024-03-27T19:47:16,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-03-28,77.6,44,61.1,77.6,44,61.1,49.3,70,0,0,0,,0,0,26.4,12.3,180.1,1021.4,2.5,9.4,253.8,21.8,8,10,2024-03-28T07:24:15,2024-03-28T19:47:52,0.62,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-03-29,78.5,55.8,66,78.5,55.8,66,56,73,0,0,0,,0,0,31.1,15.9,166.8,1016.2,37.2,9.1,189.9,16.2,8,10,2024-03-29T07:23:02,2024-03-29T19:48:29,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-03-30,75.8,62.2,68.7,75.8,62.2,68.7,61.9,79.5,0,0,0,rain,0,0,24.4,12.9,176,1013.4,90.3,9.8,99.4,8.7,3,10,2024-03-30T07:21:49,2024-03-30T19:49:06,0.69,Overcast,Cloudy skies throughout the day.,cloudy,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-03-31,79.1,66.2,71.6,79.1,66.2,71.6,65.7,82,0,0,0,rain,0,0,28.9,11.6,174.4,1010.2,95,9.4,86.5,7.6,4,15,2024-03-31T07:20:37,2024-03-31T19:49:43,0.72,Overcast,Cloudy skies throughout the day.,cloudy,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-04-01,82.5,70.5,75.4,86.3,70.5,76.1,68.4,79.5,0,0,0,rain,0,0,28,12.8,171.6,1005,81.9,7.5,121.3,10.6,4,75,2024-04-01T07:19:24,2024-04-01T19:50:20,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-04-02,74.8,58,66.7,74.8,58,66.7,47.3,51.4,0.087,100,8.33,rain,0,0,30,12,328.2,1010.8,24.2,9.5,264.5,22.9,9,10,2024-04-02T07:18:12,2024-04-02T19:50:57,0.79,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"KATT,KAUS,72064800230,72254013904,72254413958,D9418"
"Austin, TX USA",2024-04-03,82.3,49.4,64.5,79.9,46.3,64,38.1,42.6,0,0,0,,0,0,23,11.3,307.1,1015.2,1.2,9.8,267.4,23.1,9,10,2024-04-03T07:17:01,2024-04-03T19:51:34,0.83,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-04-04,87.5,47.8,68.1,83.9,47.8,67.2,41.7,45,0,0,0,,0,0,20.8,10.6,166.7,1014.3,0.3,9.8,266.6,23.1,9,10,2024-04-04T07:15:49,2024-04-04T19:52:11,0.86,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,72254013904,72254413958,D9418"
"Austin, TX USA",2024-04-05,86.5,53.8,70.7,83.3,53.8,69.8,42.7,40.8,0,0,0,,0,0,29.9,16.1,180.1,1015,7,9.8,265.5,22.9,9,10,2024-04-05T07:14:38,2024-04-05T19:52:48,0.89,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-04-06,77.8,60.1,68.8,77.8,60.1,68.8,61.7,78.7,0,0,0,rain,0,0,35.1,14.5,162.2,1011.5,78.9,9.6,81.6,6.9,5,10,2024-04-06T07:13:27,2024-04-06T19:53:25,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-04-07,80.7,63.3,72.1,79.7,63.3,72,49.1,52.8,0.049,100,20.83,rain,0,0,23,8.5,31.1,1011.7,50.8,9.2,211.7,18.4,8,10,2024-04-07T07:12:17,2024-04-07T19:54:02,0.96,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-04-08,79.3,60.9,71.6,79.3,60.9,71.6,65.1,80.4,0.075,100,8.33,rain,0,0,30,9.5,148.5,1009.4,90.5,7.4,91.7,7.9,5,75,2024-04-08T07:11:07,2024-04-08T19:54:39,0,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-04-09,82.3,64.2,73,86.7,64.2,73.4,69.6,89.2,1.2,100,45.83,rain,0,0,37.8,11.2,133.9,1003.8,90.7,5.5,101.9,8.6,9,100,2024-04-09T07:09:57,2024-04-09T19:55:16,0.03,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-04-10,70.8,58.1,64.3,70.8,58.1,64.3,53.4,69.6,0.198,100,16.67,rain,0,0,35.3,21.2,307.7,1007.9,58.8,9.6,228.9,19.8,9,10,2024-04-10T07:08:48,2024-04-10T19:55:53,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-04-11,82.4,52.8,67.6,80.2,52.8,67.1,44.5,49,0,0,0,,0,0,24.2,10,330.9,1017,0.1,9.8,277.7,24.1,9,10,2024-04-11T07:07:40,2024-04-11T19:56:30,0.1,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-04-12,81.6,52.1,67.5,80.9,52.1,67.4,50.5,58,0,0,0,,0,0,25.3,11.2,167,1022.5,9.8,9.8,262.5,22.7,9,10,2024-04-12T07:06:32,2024-04-12T19:57:08,0.13,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-04-13,81.8,62.5,71.1,82.2,62.5,71.1,59,67.9,0,0,0,,0,0,29,14.4,164.3,1020.6,41.2,9.6,223,19.2,8,10,2024-04-13T07:05:24,2024-04-13T19:57:45,0.16,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-04-14,84.3,64.3,72.6,86.4,64.3,72.9,63.9,75.7,0,0,0,rain,0,0,26.6,11.2,171.9,1015.4,76.9,9.7,193.5,16.6,10,10,2024-04-14T07:04:17,2024-04-14T19:58:23,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-04-15,83.2,69.8,74.7,87.7,69.8,75.4,67.6,79.2,0.003,100,4.17,rain,0,0,36.1,18.3,156.8,1010.1,92.1,9.5,110.8,9.5,4,15,2024-04-15T07:03:11,2024-04-15T19:59:01,0.25,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-04-16,79.9,70,74.1,79.9,70,74.1,69.5,85.7,0.023,100,8.33,rain,0,0,23.5,12.7,167.7,1009.7,98.4,7.2,98.4,8.4,4,60,2024-04-16T07:02:05,2024-04-16T19:59:39,0.26,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-04-17,81.8,72.6,76.3,87,72.6,77.1,70.8,83.7,0,0,0,rain,0,0,21.1,10,143,1012.1,89.8,6.7,84.4,7.2,6,60,2024-04-17T07:01:00,2024-04-17T20:00:16,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-04-18,87.4,72.6,78.9,92.8,72.6,81.2,70.2,76,0,0,0,rain,0,0,24.8,10.9,169.1,1011.9,74,8.7,195.9,17,8,75,2024-04-18T06:59:56,2024-04-18T20:00:54,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-04-19,75.6,64.3,71.3,75.6,64.3,71.3,62.3,74,0,0,0,rain,0,0,23,14.6,17.5,1015.5,80.9,9.5,177.1,15.2,8,10,2024-04-19T06:58:52,2024-04-19T20:01:33,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-04-20,71.2,56.2,64.5,71.2,56.2,64.5,60.6,87.4,0.464,100,29.17,rain,0,0,31.1,14.5,10.1,1016.4,99,7.5,31.3,2.8,2,10,2024-04-20T06:57:49,2024-04-20T20:02:11,0.39,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-04-21,70.3,51.1,59.2,70.3,51.1,59.2,47.7,68.4,0.234,100,12.5,rain,0,0,31.1,14,14.2,1023.8,63.8,9.3,238.4,20.6,9,10,2024-04-21T06:56:47,2024-04-21T20:02:49,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-04-22,74.4,48.4,61.5,74.4,48.3,61.4,46,59.7,0,0,0,,0,0,19.2,9.4,143.2,1022.6,7.6,9.8,281,24.2,9,10,2024-04-22T06:55:46,2024-04-22T20:03:28,0.46,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,72254013904,72254413958,D9418"
"Austin, TX USA",2024-04-23,73.8,54.2,65.7,73.8,54.2,65.7,58.3,77.6,0,0,0,rain,0,0,25.5,13.6,178.9,1017,71.1,9.8,130.8,11.3,6,10,2024-04-23T06:54:45,2024-04-23T20:04:06,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,72254013904,72254413958,D9418"
"Austin, TX USA",2024-04-24,83.2,69.4,74.9,86.2,69.4,75.5,67.4,78.5,0,0,0,rain,0,0,21.9,11.4,150.6,1016.5,84.1,8.6,117.2,10.3,4,60,2024-04-24T06:53:45,2024-04-24T20:04:45,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-04-25,81.2,70.1,74.8,84.7,70.1,75.3,68.5,81,0.017,100,8.33,rain,0,0,29.5,19.6,161,1013,95.5,9.4,90.3,7.7,5,75,2024-04-25T06:52:46,2024-04-25T20:05:24,0.56,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-04-26,83.2,73.3,76.9,86.8,73.3,77.6,68.7,76.4,0,0,0,rain,0,0,34.4,16.8,164.3,1007.2,92.8,9.7,70.5,6,3,75,2024-04-26T06:51:48,2024-04-26T20:06:02,0.6,Overcast,Cloudy skies throughout the day.,cloudy,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-04-27,83,74.8,78,87.9,74.8,79.2,70.6,78.4,0,0,0,rain,0,0,32.9,17.4,152.8,1007.4,95.4,8.6,115,9.8,5,100,2024-04-27T06:50:51,2024-04-27T20:06:41,0.63,Overcast,Cloudy skies throughout the day.,cloudy,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-04-28,80.2,64.9,73.5,85.4,64.9,73.8,69.9,88.8,0.71,100,33.33,rain,0,0,34,15,160.6,1007.9,84.8,8.1,63.2,5.5,4,75,2024-04-28T06:49:55,2024-04-28T20:07:20,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-04-29,88.5,70.8,78.5,89.9,70.8,79.3,68.8,75.3,0,0,0,rain,0,0,20.8,9,94,1010.3,49.4,7.2,270.8,23.5,9,60,2024-04-29T06:49:00,2024-04-29T20:08:00,0.7,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-04-30,84.5,68.8,76.8,88.2,68.8,78,67.5,74.7,0,0,0,rain,0,0,23.7,13.4,150.1,1011.5,71.1,9.2,186,16.1,9,75,2024-04-30T06:48:05,2024-04-30T20:08:39,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-05-01,78.4,71.1,73.7,78.4,71.1,73.7,70.7,90.5,0.978,100,25,rain,0,0,25.3,9.8,126.3,1009,87.8,7.2,31,2.6,2,75,2024-05-01T06:47:12,2024-05-01T20:09:18,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-05-02,77.8,68.3,73.3,77.8,68.3,73.3,70.1,90,0.038,100,25,rain,0,0,25.1,10.1,103.9,1007.1,99.3,7.8,61.3,5.4,3,100,2024-05-02T06:46:20,2024-05-02T20:09:57,0.81,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-05-03,74.8,72.2,73.3,74.8,72.2,73.3,71.2,93.1,0.053,100,29.17,rain,0,0,26.4,11.1,101.6,1009.9,99.4,5.6,35.9,2.9,1,75,2024-05-03T06:45:29,2024-05-03T20:10:36,0.84,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-05-04,79.3,70.8,74.4,79.3,70.8,74.4,70.2,86.7,0,0,0,rain,0,0,26.2,8.4,106.9,1010.9,83.8,9,47.5,4.1,3,75,2024-05-04T06:44:38,2024-05-04T20:11:16,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-05-05,81.5,63.8,72.6,85.4,63.8,72.8,67.7,85,0.997,100,20.83,rain,0,0,48.3,12.3,124.8,1011.2,76.9,9.3,130.3,11.3,9,30,2024-05-05T06:43:49,2024-05-05T20:11:55,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-05-06,84.8,74,78.4,92,74,80.7,72.2,81.9,0.004,100,4.17,rain,0,0,24.2,13.8,155.7,1007.4,79.9,8.4,115.8,9.8,5,100,2024-05-06T06:43:02,2024-05-06T20:12:34,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-05-07,88.3,73.1,80.4,96.8,73.1,83.6,72.5,78,0,0,0,rain,0,0,22.4,10.5,178.5,1005,67.8,8.3,168.3,14.6,7,100,2024-05-07T06:42:15,2024-05-07T20:13:14,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-05-08,88.6,75.6,80.9,100.4,75.6,85.3,74.3,80.9,0,0,0,rain,0,0,22.6,10.1,175.4,1002.5,74,4.3,151.8,13.1,8,100,2024-05-08T06:41:29,2024-05-08T20:13:53,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-05-09,91.9,74.4,82.5,101.6,74.4,86.5,73.1,75,0,0,0,rain,0,0,31,15.4,99.3,1004.7,65.1,6,222.5,19.4,9,100,2024-05-09T06:40:45,2024-05-09T20:14:32,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-05-10,83.2,70,76.3,82.9,70,76.3,60.3,59.4,0,0,0,,0,0,28.9,14.5,21.3,1012.3,36.9,9.7,197.4,17,8,15,2024-05-10T06:40:01,2024-05-10T20:15:11,0.08,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-05-11,81.2,69,73.1,81.8,69,73.1,59.7,63.5,0,0,0,rain,0,0,23.3,11.3,63.1,1013.2,58.7,9.6,134.3,11.6,7,10,2024-05-11T06:39:19,2024-05-11T20:15:51,0.12,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-05-12,73.6,68,70.3,73.6,68,70.3,65.8,85.8,0.001,100,4.17,rain,0,0,21,10.7,38.7,1008.4,100,8.6,71.2,6,3,30,2024-05-12T06:38:39,2024-05-12T20:16:30,0.15,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-05-13,79,66.8,71.6,79,66.8,71.6,68.1,89.1,0.134,100,12.5,rain,0,0,32.1,7,13.2,1006.7,68.6,7.4,73.4,6.2,6,75,2024-05-13T06:37:59,2024-05-13T20:17:08,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-05-14,92.5,62.7,76.9,90,62.7,76.3,59,60.5,0,0,0,,0,0,12.3,6.6,3.6,1008.8,1.3,9.2,289.3,25.2,9,10,2024-05-14T06:37:21,2024-05-14T20:17:47,0.21,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-05-15,92.6,64.4,79,92.9,64.4,78.7,59,54.1,0,0,0,,0,0,24.2,12.7,161,1008.1,14.8,9.5,273.2,23.8,8,15,2024-05-15T06:36:44,2024-05-15T20:18:26,0.25,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-05-16,81.4,66.1,72.7,86.8,66.1,73.5,67.6,84.6,1.236,100,25,rain,0,0,37.4,12.5,117.7,1005.9,84.8,8.6,44,3.8,2,75,2024-05-16T06:36:08,2024-05-16T20:19:04,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-05-17,85.9,62.1,72.7,86.6,62.1,73,62.9,73.3,0,0,0,,0,0,23.3,11.3,3.3,1008.2,32.6,9.6,249.7,21.5,10,60,2024-05-17T06:35:34,2024-05-17T20:19:42,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-05-18,94.9,67.5,80.7,98.5,67.5,82.4,67.3,67.7,0,0,0,,0,0,20.8,8,176.7,1010.1,27.3,9.3,284.6,24.7,9,75,2024-05-18T06:35:01,2024-05-18T20:20:20,0.34,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-05-19,92,72.8,82.1,96.9,72.8,84.2,69.3,67.6,0,0,0,rain,0,0,20.8,10.8,161.8,1011.8,37.8,8.5,289,25,9,30,2024-05-19T06:34:29,2024-05-19T20:20:58,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
